wo_id,equipment_tag,date,wo_type,description,technician,downtime_hours,parts_used
WO-24141,CV-402,2026-04-06,Corrective,Idler bearing seizure reported by shift crew; rectified and tested OK.,K. Nair,6.9,
WO-24217,GD-801,2026-04-06,Corrective,Sensor drift reported by shift crew; rectified and tested OK.,S. Iyer,3.5,
WO-24100,B-301,2026-04-14,Corrective,Burner flame instability reported by shift crew; rectified and tested OK.,S. Iyer,9.4,
WO-24231,EOT-901,2026-04-25,Corrective,Brake lining wear reported by shift crew; rectified and tested OK.,M. Reddy,10.3,
WO-24127,CV-401,2026-05-12,Corrective,Pull cord switch fault reported by shift crew; rectified and tested OK.,D. Bose,8.6,
WO-24023,P-101,2026-05-18,Corrective,Impeller wear reported by shift crew; rectified and tested OK.,V. Patil,8.1,
WO-24012,P-101,2026-05-19,Corrective,Mechanical seal leak observed at gland; seal replaced with OEM cartridge seal. Shaft sleeve scoring noted again — same as previous replacements.,K. Nair,6.8,Cartridge seal SK-CS-40
WO-24109,B-301,2026-06-06,Preventive,Scheduled preventive maintenance as per PM plan for Boiler No. 3.,A. Khan,3.6,
WO-24155,TR-501,2026-06-11,Corrective,Oil leak reported by shift crew; rectified and tested OK.,A. Khan,2.6,
WO-24066,P-201,2026-06-15,Preventive,Scheduled preventive maintenance as per PM plan for Boiler Feed Pump.,P. Singh,1.4,
WO-24212,F-701,2026-06-16,Preventive,Scheduled preventive maintenance as per PM plan for ESP Fan.,M. Reddy,3.1,
WO-24230,GD-801,2026-06-16,Preventive,Scheduled preventive maintenance as per PM plan for CO Gas Detector Array - Battery Top.,A. Khan,2.3,
WO-24112,COB-1,2026-06-19,Corrective,Door seal leakage reported by shift crew; rectified and tested OK.,K. Nair,10.7,
WO-24138,CV-401,2026-06-19,Preventive,Scheduled preventive maintenance as per PM plan for Coal Conveyor 401.,M. Reddy,1.7,
WO-24180,TR-502,2026-06-19,Preventive,Scheduled preventive maintenance as per PM plan for Auxiliary Transformer.,K. Nair,2.2,
WO-24196,F-701,2026-06-19,Corrective,Bearing vibration reported by shift crew; rectified and tested OK.,R. Sharma,7.2,
WO-24019,P-101,2026-06-22,Corrective,Mechanical seal leak reported by shift crew; rectified and tested OK.,R. Sharma,8.6,
WO-24081,C-201,2026-06-22,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Gas Compressor.,K. Nair,1.4,
WO-24095,C-202,2026-06-22,Preventive,Scheduled preventive maintenance as per PM plan for Instrument Air Compressor.,S. Iyer,1.8,
WO-24050,P-102,2026-06-24,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump B.,S. Iyer,1.8,
WO-24056,P-201,2026-06-25,Corrective,Cavitation damage reported by shift crew; rectified and tested OK.,R. Sharma,4.3,
WO-24033,P-101,2026-06-26,Preventive,Scheduled preventive maintenance as per PM plan for Cooling Water Pump A.,M. Reddy,3.2,
WO-24152,CV-402,2026-06-28,Preventive,Scheduled preventive maintenance as per PM plan for Coke Conveyor 402.,P. Singh,1.2,
WO-24166,TR-501,2026-06-28,Preventive,Scheduled preventive maintenance as per PM plan for Main Power Transformer.,R. Sharma,1.3,
WO-24125,COB-1,2026-06-30,Preventive,Scheduled preventive maintenance as per PM plan for Coke Oven Battery 1.,A. Khan,1.8,
WO-24244,EOT-901,2026-06-30,Preventive,Scheduled preventive maintenance as per PM plan for EOT Crane 20T.,D. Bose,2.0,
WO-24084,C-202,2026-07-04,Corrective,Piston ring wear reported by shift crew; rectified and tested OK.,A. Khan,4.7,
WO-24096,B-301,2026-07-05,Corrective,Burner flame instability reported by shift crew; rectified and tested OK.,A. Khan,8.9,
WO-24193,V-601,2026-07-08,Preventive,Scheduled preventive maintenance as per PM plan for Ammonia Storage Vessel.,K. Nair,2.0,
WO-24013,P-101,2026-07-09,Corrective,Mechanical seal leak observed at gland; seal replaced with OEM cartridge seal. Shaft sleeve scoring noted again — same as previous replacements.,D. Bose,10.8,Cartridge seal SK-CS-40
WO-24041,P-102,2026-07-10,Corrective,Impeller wear reported by shift crew; rectified and tested OK.,S. Iyer,7.1,
